nome,status flora brasil,nome flora brasil,status plantlist,plantlist,flora brasil x plantlist
Alternanthera brasiliana (L.) Kuntze ,,Alternanthera brasiliana (L.) Kuntze,,Alternanthera brasiliana (L.) Kuntze,
Alternanthera paronychioides A. St.-Hil.,,Alternanthera paronychioides A.St.-Hil.,,Alternanthera paronychioides A.St.-Hil.,
Alternanthera philoxeroides (Mart.) Griseb.,,Alternanthera philoxeroides (Mart.) Griseb.,,Alternanthera philoxeroides (Mart.) Griseb.,
Alternanthera pilosa Moq.,,Alternanthera pilosa Moq.,Não resolvido,Alternanthera pilosa Moq.,
Alternanthera tenella Colla,,Alternanthera tenella Colla,sinonimo,Alternanthera ficoidea (L.) Sm.,diferente
Amaranthus spinosus L.,,Amaranthus spinosus L.,,Amaranthus spinosus L.,
Amaranthus viridis L.,,Amaranthus viridis L.,,Amaranthus viridis L.,
Atriplex montevidensis Spr.,nao_encontrado,,,Atriplex montevidensis Spreng.,
Atriplex undulata (Moq.) Dietr.,nao_encontrado,,,Atriplex undulata (Moq.) D.Dietr.,
Blutaparon portulacoides (A. St.-Hil.) Mears ,,Blutaparon portulacoides (A.St.-Hil.) Mears,,Blutaparon portulacoides (A.St.-Hil.) Mears,
Chamissoa altissima (Jacq.) Kunth,,Chamissoa altissima (Jacq.) Kunth,,Chamissoa altissima (Jacq.) Kunth,
Chenopodium ambrosioides L. ,sinonimo,Dysphania ambrosioides (L.) Mosyakin & Clemants,sinonimo,Dysphania ambrosioides (L.) Mosyakin & Clemants,
Gomphrena demissa Mart.,,Gomphrena demissa Mart.,,Gomphrena demissa Mart.,
Gomphrena elegans Mart.,,Gomphrena elegans Mart.,,Gomphrena elegans Mart.,
Hebanthe paniculata Mart.,sinonimo,Hebanthe eriantha (Poir.) Pedersen,sinonimo,Hebanthe eriantha (Poir.) Pedersen,
Pfaffia glomerata (Spreng.) Pedersen,,Pfaffia glomerata (Spreng.) Pedersen,,Pfaffia glomerata (Spreng.) Pedersen,
Pfaffia pulverulenta (Mart.) Kuntze,sinonimo,Hebanthe pulverulenta Mart.,sinonimo,Hebanthe pulverulenta Mart.,
Pfaffia iresinoides (Kunth) Spreng.,nao_encontrado,,,Pfaffia iresinoides (Kunth) Spreng.,
Salicornia ambigua Michx.,nao_encontrado,,sinonimo,Sarcocornia perennis (Mill.) A.J.Scott,
Salicornia gaudichaudiana Moq.,sinonimo,Salicornia fruticosa L.,sinonimo,Sarcocornia fruticosa (L.) A.J.Scott,diferente
Crinum americanum L.,,Crinum americanum L.,,Crinum americanum L.,
Hyppeastrum angustifolium Pax,nao_encontrado,,nao_encontrado,,
Schinus terenbinthifolius Raddi.,nao_encontrado,,nao_encontrado,,
Centella asiatica (L.) Urban ,,Centella asiatica (L.) Urb.,,Centella asiatica (L.) Urb.,
Eryngium ebracteatum Lam.,,Eryngium ebracteatum Lam.,,Eryngium ebracteatum Lam.,
Eryngium eburneum Decne.,,Eryngium eburneum Decne.,,Eryngium eburneum Decne.,
Eryngium ekmanii H. Wolff,,Eryngium ekmanii H.Wolff,,Eryngium ekmanii H.Wolff,
Eryngium pandanifolium Cham. & Schltdl. ,,Eryngium pandanifolium Cham. & Schltdl.,,Eryngium pandanifolium Cham. & Schltdl.,
Hydrocotyle ranunculoides L. f. ,,Hydrocotyle ranunculoides L.f.,,Hydrocotyle ranunculoides L.f.,
Hydrocotyle verticillata Thunb. ,,Hydrocotyle verticillata Thunb.,,Hydrocotyle verticillata Thunb.,
Lilaeopsis attenuata (Hook. & Arn.) Fernald ,,Lilaeopsis attenuata (Hook. & Arn.) Fernald,,Lilaeopsis attenuata (Hook. & Arn.) Fernald,
Lilaeopsis brasiliensis (Glaz.) Affolter,,Lilaeopsis brasiliensis (Glaz.) Affolter,,Lilaeopsis brasiliensis (Glaz.) Affolter,
Lilaeopsis carolinensis J.M. Coult. & Rose ,,Lilaeopsis carolinensis J.M.Coult. & Rose,,Lilaeopsis carolinensis J.M.Coult. & Rose,
Lilaeopsis tenuis A. W. Hill,,Lilaeopsis tenuis A.W.Hill,,Lilaeopsis tenuis A.W. Hill,diferente
Allamanda cathartica L.,,Allamanda cathartica L.,sinonimo,Allamanda schottii Pohl,diferente
Allamanda nobilis T. Moore,,Allamanda nobilis T.Moore,,Allamanda nobilis T.Moore,
Ditassa hastata Decne.,,Ditassa hastata Decne.,,Ditassa hastata Decne.,
Mandevilla clandestina J.F. Morales,,Mandevilla clandestina J.F.Morales,,Mandevilla clandestina J.F.Morales,
Mandevilla hirsuta (A.Rich.) K. Schum. ,,Mandevilla hirsuta (A.Rich.) K.Schum.,,Mandevilla hirsuta (Rich.) K.Schum.,diferente
Mandevilla tenuifolia (Mikan) Woodson,,Mandevilla tenuifolia (J.C.Mikan) Woodson,,Mandevilla tenuifolia (J.C.Mikan) Woodson,
Odontadenia nitida (Vahl) Müll. Arg. ,,Odontadenia nitida (Vahl) Müll.Arg.,,Odontadenia nitida (Vahl) Müll.Arg.,
Oxypetalum pachyglossum Decne.,,Oxypetalum pachyglossum Decne.,,Oxypetalum pachyglossum Decne.,
Oxypetalum tubatum Malme ,,Oxypetalum tubatum Malme,,Oxypetalum tubatum Malme,
Rhabdadenia biflora (Jacq.) Müll. Arg.,,Rhabdadenia biflora (Jacq.) Müll.Arg.,,Rhabdadenia biflora (Jacq.) Müll.Arg.,
Rhabdadenia madida (Vell.) Miers ,,Rhabdadenia madida (Vell.) Miers,,Rhabdadenia madida (Vell.) Miers,
Rhabdanenia pohlii Mull. Arg.,nao_encontrado,,nao_encontrado,,
Alocasia macrorrhiza (L.) Schott.,nao_encontrado,,nao_encontrado,,
Colocasia esculenta (L.) Schott.,nao_encontrado,,,Colocasia esculenta (L.) Schott,
Dracontium longipes Engl. ,,Dracontium longipes Engl.,,Dracontium longipes Engl.,
Landoltia punctata (G. Mey.) Les & D.J. Crawford,,Landoltia punctata (G.Mey.) Les & D.J.Crawford,sinonimo,Spirodela punctata (G.Mey.) C.H.Thomps.,diferente
Lemna aequinoctialis Welw.,,Lemna aequinoctialis Welw.,,Lemna aequinoctialis Welw.,
Lemna gibba L.,,Lemna gibba L.,,Lemna gibba L.,
Lemna minuta L. ,,Lemna minuta Kunth,sinonimo,Lemna valdiviana Phil.,diferente
Lemna valdiviana Phil. ,,Lemna valdiviana Phil.,,Lemna valdiviana Phil.,
Montrichardia arborescens (L.) Schott,,Montrichardia arborescens (L.) Schott,,Montrichardia arborescens (L.) Schott,
Montrichiardia linifera (Arruda) Schott,nao_encontrado,,nao_encontrado,,
Philodendron brasiliense Engl.,,Philodendron brasiliense Engl.,,Philodendron brasiliense Engl.,
Philodendron rudgeanum Schott,,Philodendron rudgeanum Schott,,Philodendron rudgeanum Schott,
Pistia stratioides L.,nao_encontrado,,nao_encontrado,,
Spirodela intermedia W. Koch,,Spirodela intermedia W.Koch,sinonimo,Spirodela punctata (G.Mey.) C.H.Thomps.,diferente
Urospatha sagittifolia (Rudge) Schott,,Urospatha sagittifolia (Rudge) Schott,,Urospatha sagittifolia (Rudge) Schott,
Wolffia arrhiza (L.) Horkel ex Wimm.,,Wolffia arrhiza (L.) Horkel ex Wimm.,,Wolffia arrhiza (L.) Horkel ex Wimm.,
Wolffia brasiliensis Wedd. ,,Wolffia brasiliensis Wedd.,,Wolffia brasiliensis Wedd.,
Wolffia columbiana H. Karst.,,Wolffia columbiana Karsten,,Wolffia columbiana H.Karst.,diferente
Wolffiella lingulata (Hegelm.) Hegelm.,,Wolffiella lingulata (Hegelm.) Hegelm.,,Wolffiella lingulata (Hegelm.) Hegelm.,
Wollffiella oblonga (Phil.) Hegelm. ,nao_encontrado,,nao_encontrado,,
Wolffiella welwitschii (Hegelm.) Monod,,Wolffiella welwitschii (Hegelm.) Monod,,Wolffiella welwitschii (Hegelm.) Monod,
Xanthosoma aristiguietae (Bunt.) Madison,nao_encontrado,,nao_encontrado,,
Zantedeschia aethiopica (L.) Spr.,nao_encontrado,,,Zantedeschia aethiopica (L.) Spreng.,
Hydrocotyle bonariensis Lam. ,,Hydrocotyle bonariensis Lam.,,Hydrocotyle bonariensis Comm. ex Lam.,diferente
Hydrocotyle leucocephala Cham. & Schltdl. ,,Hydrocotyle leucocephala Cham. & Schltdl.,,Hydrocotyle leucocephala Cham. & Schltdl.,
Hydrolotyle pussilla A. Rich.,nao_encontrado,,nao_encontrado,,
Hydrocotyle ranunculoides L.f.,,Hydrocotyle ranunculoides L.f.,,Hydrocotyle ranunculoides L.f.,
Hydrocotyle verticillata Thumb. ,,Hydrocotyle verticillata Thunb.,,Hydrocotyle verticillata Thunb.,
Bactris maraja Mart. ,,Bactris maraja Mart.,,Bactris maraja Mart.,
Mauritia carana Wallace,,Mauritia carana Wallace,,Mauritia carana Wallace,
Mauritiella armata (Mart.) Burret ,,Mauritiella armata (Mart.) Burret,,Mauritiella armata (Mart.) Burret,
Aristolochia macroura Gomes,sinonimo,Aristolochia trilobata L.,,Aristolochia macroura Ortega,diferente
Roullinia montevidensis (Spr.) Malme,nao_encontrado,,nao_encontrado,,
Acanthospermum australe (Loef.) Kuntze,,Acanthospermum australe (Loefl.) Kuntze,,Acanthospermum australe (Loefl.) Kuntze,
Acanthospermum hispidum DC. ,,Acanthospermum hispidum DC.,,Acanthospermum hispidum DC.,
Achyrocline alata (Kunth) DC. ,,Achyrocline alata (Kunth) DC.,,Achyrocline alata (Kunth) DC.,
Acilepdopsis echitifolia (Mart. Ex DC.) H. Rob.,nao_encontrado,,nao_encontrado,,
Acmella uliginosa (Sw.) Cass.,,Acmella uliginosa (Sw.) Cass.,,Acmella uliginosa (Sw.) Cass.,
Adenostemma brasilianum (Pers.) Cass.,,Adenostemma brasilianum (Pers.) Cass.,,Adenostemma brasilianum (Pers.) Cass.,
Ageratum conyzoides L.,,Ageratum conyzoides L.,,Ageratum conyzoides (L.) L.,diferente
Ambrosia artemisiaefolia L.,nao_encontrado,,nao_encontrado,,
Aster squamatus (Spreng) Hier.,sinonimo,Symphyotrichum squamatum (Spreng.) G.L.Nesom,,Aster squamatus (Spreng.) Hieron.,diferente
Baccharis microcephala Baker ,,Baccharis microcephala (Less.) DC.,,Baccharis microcephala (Less.) DC.,
Baccharis penningtonii Heering.,,Baccharis penningtonii Heering,,Baccharis penningtonii Heering,
Baccharis spicata (Lam.) Baill.,,Baccharis spicata (Lam.) Baill.,,Baccharis spicata (Lam.) Baill.,
Baccharis usteri Heering,sinonimo,Baccharis junciformis DC.,,Baccharis usterii Heering,diferente
Baccharidastrum triplinerve (Less.) Cabrera,nao_encontrado,,nao_encontrado,,
Barrosoa betonicaeformis (DC.) R.M.King & H.Rob.,,Barrosoa betonicaeformis (DC.) R.M.King & H.Rob.,,Barrosoa betonicaeformis (DC.) R.M.King & H.Rob.,
Bidens laevis (L.) B.S.P. ,,Bidens laevis (L.) Britton et al.,,"Bidens laevis (L.) ""Britton, Sterns & Poggenb.""",diferente
Blainvillea dichotoma (Murray) Stewart,,Blainvillea dichotoma (Murray) Stewart,sinonimo,Blainvillea rhomboidea Cass.,diferente
Centratherum punctatum Cass.,,Centratherum punctatum Cass.,,Centratherum punctatum Cass.,
Calea marginata S. F. Blake,,Calea marginata S.F.Blake,,Calea marginata S.F.Blake,
Campuloclinium purpurascens (Sch. Bip.) R.M. King & H. Rob.,,Campuloclinium purpurascens (Sch.Bip. ex Baker) R.M.King & H.Rob.,,Campuloclinium purpurascens (Sch.Bip. ex Baker) R.M.King & H.Rob.,
Chaptalia graminifolia (Dusen) Cabr.,,Chaptalia graminifolia (Dusén ex Malme) Cabrera,,Chaptalia graminifolia (Dusén ex Dusén) Cabrera,diferente
Chrysolaena platensis (Spreng.) H. Robins. ,,Chrysolaena platensis (Spreng.) H.Rob.,,Chrysolaena platensis (Spreng.) H.Rob.,
Clibadium amanii (Balb.) Sch. Bip. ex Baker,nao_encontrado,,nao_encontrado,,
Conyza bonariensis (L.) Cronquist,,Conyza bonariensis (L.) Cronquist,sinonimo,Erigeron bonariensis L.,diferente
Conyza sumatrensis (Retz.) E.Walker ,,Conyza sumatrensis (Retz.) E.Walker,,Conyza sumatrensis (S.F.Blake) Pruski & G.Sancho,diferente
Cotula coronopifolia L. ,,Cotula coronopifolia L.,,Cotula coronopifolia L.,
Delilia biflora (L.) Kuntze ,,Delilia biflora (L.) Kuntze,,Delilia biflora (L.) Kuntze,
Eclipta megapotamica (Spreng.) Sch.Bip. ex S.F.Blake ,,Eclipta megapotamica (Spreng.) Sch.Bip. ex S.F.Blake,,Eclipta megapotamica (Spreng.) Sch.Bip. ex S.F.Blake,
Eclipta prostrata (L.) L.,,Eclipta prostrata (L.) L.,,Eclipta prostrata (L.) L.,
Egletes viscosa (L.) Less. ,,Egletes viscosa (L.) Less.,,Egletes viscosa (L.) Less.,
Elephantopus mollis Kunth,,Elephantopus mollis Kunth,,Elephantopus mollis Kunth,
Emilia coccinea (Sims) G. Don,sinonimo,Emilia fosbergii Nicolson,,Emilia coccinea (Sims) G.Don,diferente
Emilia sonchifolia (L.) DC. ex Wight,,Emilia sonchifolia (L.) DC. ex Wight,,Emilia sonchifolia (L.) DC. ex DC.,diferente
Enydra anagallis Gardner ,,Enydra anagallis Gardner,,Enydra anagallis Gardner,
Enydra radicans (Willd.) Lack.,,Enydra radicans (Willd.) Lack,,Enydra radicans (Willd.) Lack,
Enydra sessilis (SW.) DC. ,nao_encontrado,,,Enydra sessilis (Sw.) DC.,
Enydra virularis Gardner,nao_encontrado,,nao_encontrado,,
Erechtites hieracifolia (L.) Rafin,nao_encontrado,,,Erechtites hieracifolia (L.) Raf.,
Erechtites hieracifolius (L.) Raf. ex DC.,,Erechtites hieracifolius (L.) Raf. ex DC.,nao_encontrado,,diferente
Erechtites valerianifolius (Link ex Spreng.) DC.,,Erechtites valerianifolius (Wolf) DC.,,Erechtites valerianifolius (Wolf) DC.,
Erigeron maximus (D. Don) DC.,nao_encontrado,,sinonimo,Leptostelma maxima D.Don,
Eupatorium bupleurifolium DC.,nao_encontrado,,sinonimo,Campovassouria cruciata (Vell.) R.M.King & H.Rob.,
Eupatorium candolleanum Hook. & Arn.,sinonimo,Barrosoa candolleana (Hook. & Arn.) R.M.King & H.Rob.,sinonimo,Barrosoa candolleana (Hook. & Arn.) R.M.King & H.Rob.,
Eupatorium subhastatum Hook. & Arn.,nao_encontrado,,sinonimo,Badilloa steetzii (B.L.Rob.) R.M.King & H.Rob.,
Eupatorium tremulum Hook. & Arn.,nao_encontrado,,sinonimo,Raulinoreitzia tremula (Hook. & Arn.) R.M.King & H.Rob.,
Eupatorium tweedianum Hook. & Arn.,nao_encontrado,,nao_encontrado,,
Gamochaeta americana (Mill.) Wedd.,,Gamochaeta americana (Mill.) Wedd.,sinonimo,Gnaphalium americanum Mill.,diferente
Gnaphalium spicatum Mill. ,nao_encontrado,,sinonimo,Gnaphalium coarctatum Willd.,
Grazielia intermedia (DC.) R. M. King & H. Robins,,Grazielia intermedia (DC.) R.M.King & H.Rob.,,Grazielia intermedia (DC.) R.M.King & H.Rob.,
Gymnocoronis spilanthoides DC. ,,Gymnocoronis spilanthoides DC.,,Gymnocoronis spilanthoides (D.Don ex Hook. & Arn.) DC.,diferente
Jaegeria hirta (Lag.) Less. ,,Jaegeria hirta (Lag.) Less.,,Jaegeria hirta (Lag.) Less.,
Jungia floribunda Less.,,Jungia floribunda Less.,sinonimo,Jungia spectabilis subsp. sodiroi (Hieron.) Harling,diferente
Lepidaploa chalybaea (Mart. Ex DC.) H. Rob.,,Lepidaploa chalybaea (Mart. ex DC.) H.Rob.,,Lepidaploa chalybaea (Mart. ex DC.) H.Rob.,
Lessingianthus glabratus (Less.) H. Rob.,,Lessingianthus glabratus (Less.) H.Rob.,,Lessingianthus glabratus (Less.) H.Rob.,
Mikania congesta DC. ,,Mikania congesta DC.,,Mikania congesta DC.,
Mikania cordifolia (L. f.) Willd.,,Mikania cordifolia (L.f.) Willd.,,Mikania cordifolia (L.f.) Willd.,
Mikania micrantha Kunth ,,Mikania micrantha Kunth,Não resolvido,Mikania micrantha (L.) Willd.,diferente
Mikania periplocifolia Hook. And Arn.,,Mikania periplocifolia Hook. & Arn.,,Mikania periplocifolia Hook. & Arn.,
Pacourina edulis Aubl. ,,Pacourina edulis Aubl.,,Pacourina edulis Aubl.,
Picrosia longifolia D. Don,,Picrosia longifolia D.Don,,Picrosia longifolia D.Don,
Pluchea sagittalis (Lam.) Cabrera,,Pluchea sagittalis (Lam.) Cabrera,,Pluchea sagittalis Less.,diferente
Praxelis sanctopaulensis (B.L. Rob.) R.M. King & H. Rob.,,Praxelis sanctopaulensis (B.L.Rob.) R.M.King & H.Rob.,,Praxelis sanctopaulensis (B.L.Rob.) R.M.King & H.Rob.,
Pterocaulon balansae  Chodat,,Pterocaulon balansae Chodat,,Pterocaulon balansae Chodat,
Richterago radiata (Vell.) Roque,,Richterago radiata (Vell.) Roque,sinonimo,Actinoseris radiata (Vell.) Cabrera,diferente
Rolandra fruticosa (L.) Kuntze,,Rolandra fruticosa (L.) Kuntze,Não resolvido,Rolandra fruticosa Rottb.,diferente
Senecio bonariensis Hook.& Arn. ,,Senecio bonariensis Hook. & Arn.,,Senecio bonariensis Hook. & Arn.,
Senecio erisithalifolius Sch. Bip. Ex Baker,,Senecio erisithalifolius Sch.Bip. ex Baker,,Senecio erisithalifolius Sch.Bip. ex Baker,
Senecio icoglossus DC.,,Senecio icoglossus DC.,sinonimo,Senecio pulcher Hook. & Arn.,diferente
Senecio mattfeldianus Cabr.,nao_encontrado,,,Senecio mattfeldianus Cabrera,
Senecio tweediei Hook. & Arn. ,,Senecio tweediei Hook. & Arn.,,Senecio tweediei Hook. & Arn.,
Sonchus oleraceus L. ,,Sonchus oleraceus L.,,Sonchus oleraceus (L.) L.,diferente
Sphagneticola trilobata (L.) Pruski,,Sphagneticola trilobata (L.) Pruski,,Sphagneticola trilobata (L.) Pruski,
Synedrella nodiflora (L.) Gaertn.,,Synedrella nodiflora (L.) Gaertn.,,Synedrella nodiflora (L.) Gaertn.,
Tilesia baccata (L.f.) Pruski ,,Tilesia baccata (L.f.) Pruski,,Tilesia baccata (L.) Pruski,diferente
Trichospira verticillata (L.) S.F.Blake,,Trichospira verticillata (L.) S.F.Blake,,Trichospira verticillata (L.) S.F.Blake,
Vernonanthura beyrichii (Less) H. Rob.,,Vernonanthura beyrichii (Less.) H.Rob.,,Vernonanthura beyrichii (Less.) H.Rob.,
Vernonanthura brasiliana (L.) H.Rob. ,,Vernonanthura brasiliana (L.) H.Rob.,,Vernonanthura brasiliana (L.) H.Rob.,
Vernonia scorpioides (Lam) Pers.,sinonimo,Cyrtocymura scorpioides (Lam.) H.Rob.,sinonimo,Cyrtocymura scorpioides (Lam.) H.Rob.,
Wedelia alagoensis Baker,sinonimo,Wedelia villosa Gardner,,Wedelia alagoensis Baker,diferente
Wedelia calycina Rich. ,,Wedelia calycina Rich.,sinonimo,Wedelia fruticosa Jacq.,diferente
Impatiens wallerana Hook. F. ,nao_encontrado,,nao_encontrado,,
Begonia cucullata Willd.,,Begonia cucullata Willd.,,Begonia cucullata Willd.,
Begonia fischeri Schrank,,Begonia fischeri Schrank,,Begonia fischeri Schrank,
Begonia hirtella Link,,Begonia hirtella Link,,Begonia hirtella Link,
Begonia reniformis Dryand.,,Begonia reniformis Dryand.,,Begonia reniformis Dryand.,
Pleonotoma clematis (Kunth) Miers ,,Pleonotoma clematis (Kunth) Miers,,Pleonotoma clematis (Kunth) Miers,
Tanaecium pyramidatum (Rich.) L.G.Lohmann ,,Tanaecium pyramidatum (Rich.) L.G.Lohmann,,Tanaecium pyramidatum (Rich.) L.G.Lohmann,
Tynanthus polyanthus (Bureau) Sandwith ,,Tynanthus polyanthus (Bureau) Sandwith,,Tynanthus polyanthus (Bureau ex Baill.) Sandwith,diferente
Cordia curassavica (Jacq.) Roem. and Schult.,sinonimo,Varronia curassavica Jacq.,,Cordia curassavica (Jacq.) Roem. & Schult.,diferente
Cordia multispicata Cham.,sinonimo,Varronia multispicata (Cham.) Borhidi,,Cordia multispicata Cham.,diferente
Cordia superba Cham. ,,Cordia superba Cham.,,Cordia superba Cham.,
Cordia tetrandra Aubl.,,Cordia tetrandra Aubl.,,Cordia tetrandra Aubl.,
Euploca procumbens (Mill.) Diane & Hilger,,Euploca procumbens (Mill.) Diane & Hilger,sinonimo,Heliotropium procumbens Mill.,diferente
Heliotropium angiospermum Murray,,Heliotropium angiospermum Murray,,Heliotropium angiospermum Murray,
Heliotropium elongatum (Lehm.) I.M. Johnst.,,Heliotropium elongatum (Lehm.) I.M.Johnst.,,Heliotropium elongatum (Lehm.) Gürke,diferente
Heliotropium indicum L.,,Heliotropium indicum L.,,Heliotropium indicum L.,
Heliotropium procumbens Mill.,sinonimo,Euploca procumbens (Mill.) Diane & Hilger,,Heliotropium procumbens Mill.,diferente
Tournefortia bicolor Sw.,,Tournefortia bicolor Sw.,,Tournefortia bicolor Sw.,
Cardamine bonariensis Pers. ,,Cardamine bonariensis Pers.,,Cardamine bonariensis Juss. ex Pers.,diferente
Nasturtium officinale R. Br.,nao_encontrado,,,Nasturtium officinale R.Br.,
Burmannia australis Malme,,Burmannia australis Malme,,Burmannia australis Malme,
Burmannia capitata (Walter ex J.F.Gmel.) Mart. ,,Burmannia capitata (Walter ex J.F.Gmel.) Mart.,,Burmannia capitata (Walter ex J.F.Gmel.) Mart.,
Burmannia flava Mart. ,,Burmannia flava Mart.,,Burmannia flava Mart.,
