nome,status flora brasil,nome flora brasil,status plantlist,plantlist,flora brasil x plantlist
Cabomba aquatica Aublet.,,Cabomba aquatica Aubl.,,Cabomba aquatica Aubl.,
Cabomba caroliniana A. Gray,,Cabomba caroliniana A.Gray,,Cabomba caroliniana A.Gray,
Cabomba furcata Schult. & Schult.f. ,,Cabomba furcata Schult. & Schult.f.,,Cabomba furcata Schult. & Schult.f.,
Cabomba haynesii Wiersema,,Cabomba haynesii Wiersema,,Cabomba haynesii Wiersema,
Centropogon cornutus (L.) Druce,,Centropogon cornutus (L.) Druce,,Centropogon cornutus (L.) Druce,
Lobelia anceps L. f.,,Lobelia anceps L.f.,,Lobelia anceps L.f.,
Lobelia aquatica Cham.,,Lobelia aquatica Cham.,,Lobelia aquatica Cham.,
Lobelia camporum Pohl,,Lobelia camporum Pohl,,Lobelia camporum Pohl,
Lobelia exaltata Pohl,,Lobelia exaltata Pohl,,Lobelia exaltata Pohl,
Lobelia fistulosa Vell.,,Lobelia fistulosa Vell.,Não resolvido,Lobelia fistulosa Raf.,diferente
Lobelia nummularioides Cham.,,Lobelia nummularioides Cham.,,Lobelia nummularioides Cham.,
Lobelia xalapensis Kunth,,Lobelia xalapensis Kunth,,Lobelia xalapensis Kunth,
Pratia hederacea (Cham.) G. Don ,sinonimo,Lobelia hederacea Cham.,sinonimo,Lobelia hederacea Cham.,
Siphocampylus sulfereus Wimmer,nao_encontrado,,nao_encontrado,,
Canna indica L.,,Canna indica L.,,Canna indica L.,
Canna glauca L. ,,Canna glauca L.,,Canna glauca L.,
Canna xgeneralis L.H. Bailey,nao_encontrado,,nao_encontrado,,
Aneilema umbrosum (Vahl) Kunth ,,Aneilema umbrosum (Vahl) Kunth,,Aneilema umbrosum (Vahl) Kunth,
Callisia filiformis (M.Martens & Galeotti) D.R.Hunt ,,Callisia filiformis (M.Martens & Galeotti) D.R.Hunt,,Callisia filiformis (M.Martens & Galeotti) D.R.Hunt,
Commelina diffusa Burm.f.,,Commelina diffusa Burm.f.,,Commelina diffusa Burm.f.,
Commelina erecta L.,,Commelina erecta L.,,Commelina erecta L.,
Commelina nudiflora L.,sinonimo,Murdannia nudiflora (L.) Brenan,sinonimo,Murdannia nudiflora (L.) Brenan,
Commelina obliqua Vahl,,Commelina obliqua Vahl,sinonimo,Commelina paludosa Blume,diferente
Commelina schomburgkiana Klotzsch,sinonimo,Commelina longicaulis Jacq.,,Commelina schomburgkiana Klotzsch,diferente
Dichorisandra hexandra (Aubl.) Kuntze ex Hand.-Mazz. ,,Dichorisandra hexandra (Aubl.) C.B.Clarke,,Dichorisandra hexandra (Aubl.) Standl.,diferente
Floscopa glabrata (Kunth) Hassk. ,,Floscopa glabrata (Kunth) Hassk.,,Floscopa glabrata (Kunth) Hassk.,
Tripogandra diuretica (Mart.) Handlos,,Tripogandra diuretica (Mart.) Handlos,,Tripogandra diuretica (Mart.) Handlos,
Anisea cernua Moric.,nao_encontrado,,nao_encontrado,,
Aniseia martinicensis(Jacq.) Choisy ,nao_encontrado,,nao_encontrado,,
Cressa truxillensis Kunth,,Cressa truxillensis Kunth,,Cressa truxillensis Kunth,
Evolvulus filipes Mart.,,Evolvulus filipes Mart.,,Evolvulus filipes Mart.,
Evolvulus nummularius (L.) L. ,,Evolvulus nummularius (L.) L.,,Evolvulus nummularius (L.) L.,
Evolvulus pohlli Meiss.,nao_encontrado,,nao_encontrado,,
Ipomoea alba L.,,Ipomoea alba L.,,Ipomoea alba L.,
Ipomoea aquatica Forssk. ,,Ipomoea aquatica Forssk.,,Ipomoea aquatica Forssk.,
Ipomoea asaralifolia Poir.,nao_encontrado,,nao_encontrado,,
Ipomoea asarifolia (Desr.) Roem. & Schult.,,Ipomoea asarifolia (Desr.) Roem. & Schult.,,Ipomoea asarifolia (Desr.) Roem. & Schult.,
Ipomoea batatas (L.) Poir. ,,Ipomoea batatas (L.) Lam.,,Ipomoea batatas (L.) Lam.,
Ipomoea cairica (L.) Sweet ,,Ipomoea cairica (L.) Sweet,,Ipomoea cairica (L.) Sweet,
Ipomoea carnea Jacq.,,Ipomoea carnea Jacq.,,Ipomoea carnea Jacq.,
Ipomoea cynanchifolia Meisn. ,,Ipomoea cynanchifolia Meisn.,,Ipomoea cynanchifolia Meisn.,
Ipomoea fimbriosepala Choisy,,Ipomoea fimbriosepala Choisy,,Ipomoea fimbriosepala Choisy,
Ipomoea fistulosa Mart. ex. Choisy ,sinonimo,Ipomoea carnea subsp. fistulosa (Mart. ex Choisy) D.F.Austin,Não resolvido,Ipomoea fistulosa Mart. ex Choisy,diferente
Ipomoea indivisa (Vell.) Hall.,,Ipomoea indivisa (Vell.) Hallier f.,,Ipomoea indivisa (Vell.) Hallier f.,
Ipomoea philomega (Vell.) House ,,Ipomoea philomega (Vell.) House,,Ipomoea philomega (Vell.) House,
Ipomoea quamoclit L. ,,Ipomoea quamoclit L.,,Ipomoea quamoclit L.,
Ipomoea setifera Poir. ,,Ipomoea setifera Poir.,,Ipomoea setifera Poir.,
Ipomoea setosa Ker Gawl.,,Ipomoea setosa Ker Gawl.,sinonimo,Ipomoea nil (L.) Roth,diferente
Ipomoea serpens Meissner,sinonimo,Ipomoea maurandioides Meisn.,Não resolvido,Ipomoea serpens Meisn.,diferente
Ipomoea squamosa Choisy ,,Ipomoea squamosa Choisy,,Ipomoea squamosa Choisy,
Ipomoea subrevoluta Choisy,,Ipomoea subrevoluta Choisy,,Ipomoea subrevoluta Choisy,
Ipomoea wrightii A. Gray,,Ipomoea wrightii A.Gray,,Ipomoea wrightii A. Gray,diferente
Iseia luxurians (Moric.) O’Donell ,,Iseia luxurians (Moric.) O'Donell,,Iseia luxurians (Moric.) O'Donell,
Jacquemontia heterantha (Nees & Mart.) Hallier f.,,Jacquemontia heterantha (Nees & Mart.) Hallier f.,,Jacquemontia heterantha (Nees & Mart.) Hallier f.,
Merremia aegyptia (L.) Urb.,,Merremia aegyptia (L.) Urb.,,Merremia aegyptia (L.) Urb.,
Merremia umbellata (L.) Hallier f.,,Merremia umbellata (L.) Hallier f.,,Merremia umbellata (L.) Hallier f.,
Operculina hamiltonii (G.Don) D.F.Austin & Staples ,,Operculina hamiltonii (G.Don) D.F.Austin & Staples,,Operculina hamiltonii (G. Don) D.F. Austin & Staples,diferente
Tetralocularia pennellii O’Donell ,,Tetralocularia pennellii O'Donell,,Tetralocularia pennellii O'Donell,
Costus arabicus L.,,Costus arabicus L.,,Costus arabicus L.,
Costus spirales (Jacq.) Roscoe ,nao_encontrado,,nao_encontrado,,
Crassula peduncularis (Sm.) Meigen,,Crassula peduncularis (Sm.) Meigen,,Crassula peduncularis (Sm.) F.Meigen,diferente
Cyclanthera hystrix (Gillies) Arn.,,Cyclanthera hystrix (Gill.) Arn.,,Cyclanthera hystrix (Gillies) Arn.,diferente
Elaterium amazonicum Mart. ,nao_encontrato,,sinonimo,Rytidostylis amazonica (Mart. ex Cogn.) Spruce ex Kuntze,
Fevillea trilobata L.,,Fevillea trilobata L.,,Fevillea trilobata L.,
Gurania bignoniacea (Poepp. & Endl.) C.Jeffrey ,,Gurania bignoniacea (Poepp. & Endl.) C.Jeffrey,,Gurania bignoniacea (Poepp. & Endl.) C.Jeffrey,
Gurania tricuspidata Cogn. ,,Gurania tricuspidata Cogn.,,Gurania tricuspidata Cogn.,
Luffa operculata (L.) Cogn. ,,Luffa operculata (L.) Cogn.,,Luffa operculata (L.) Cogn.,
Momordica charantia L. ,,Momordica charantia L.,,Momordica charantia L.,
Halodule emarginata Hartog,,Halodule emarginata Hartog,,Halodule emarginata Hartog,
Halodule wrightii Asch.,,Halodule wrightii Asch.,,Halodule wrightii Asch.,
Abildgaardia ovata (Burm. f.) Kral ,,Abildgaardia ovata (Burm.f.) Kral,sinonimo,Fimbristylis ovata (Burm.f.) J.Kern,diferente
Becquerelia cymosa Brongn.,,Becquerelia cymosa Brongn.,,Becquerelia cymosa Brongn.,
Becquerelia muricata Nees,,Becquerelia muricata Nees,,Becquerelia muricata (Boeckeler) Nees,diferente
Bulbostylis capillaris (L.) Kunth ex C.B. Clarke,,Bulbostylis capillaris (L.) C.B.Clarke,,Bulbostylis capillaris (L.) Kunth ex C.B.Clarke,diferente
Bulbostylis hirtella (Schrad. ex Schult.) Nees ex Urb.,,Bulbostylis hirtella (Schrad.) Urb.,sinonimo,Bulbostylis juncoides (Vahl) Kük. ex Herter,diferente
Bulbostylis junciformis (Kunth) C.B.Clarke,,Bulbostylis junciformis (Kunth) C.B.Clarke,,Bulbostylis junciformis (Kunth) C.B.Clarke,
Bulbostylis juncoides (Vahl) Kük. ,,Bulbostylis juncoides (Vahl) Kük. ex Osten,,Bulbostylis juncoides (Vahl) Kük. ex Herter,diferente
Bulbostylis sellowiana (Kunth) Palla,,Bulbostylis sellowiana (Kunth) Palla,,Bulbostylis sellowiana (Kunth) Palla,
Bulbostylis truncata (Nees) M.T. Strong ,,Bulbostylis truncata (Nees) M.T.Strong,,Bulbostylis truncata (Nees) M.T.Strong,
Calyptrocarya longifolia (Rudge) Kunth,sinonimo,Calyptrocarya glomerulata (Brongn.) Urb.,sinonimo,Calyptrocarya glomerulata (Brongn.) Urb.,
Carex brasiliensis A. St.-Hil. ,,Carex brasiliensis A.St.-Hil.,,Carex brasiliensis A.St.-Hil.,
Carex pseudocyperus L.,,Carex pseudocyperus L.,,Carex pseudocyperus L.,
Cladium jamaicense Crantz ,sinonimo,Cladium mariscus subsp. jamaicense (Crantz) Kük.,sinonimo,Cladium mariscus subsp. jamaicense (Crantz) Kük.,
Cyperus aggregatus (Willd.) Endl.,,Cyperus aggregatus (Willd.) Endl.,,Cyperus aggregatus (Willd.) Endl.,
Cyperus amabilis Vahl ,,Cyperus amabilis Vahl,,Cyperus amabilis Vahl,
Cyperus articulatus L. ,,Cyperus articulatus L.,sinonimo,Cyperus articulatus L.,
Cyperus aristatus Rottb.,sinonimo,Cyperus squarrosus L.,sinonimo,Cyperus squarrosus L.,
Cyperus barrosianus Herter,,Cyperus barrosianus Herter,sinonimo,Pycreus tener C.B.Clarke,diferente
Cyperus berroi (C.B. Clarke) Barros ,,Cyperus berroi (C.B.Clarke) Barros,,Cyperus berroi (C.B.Clarke) Barros,
Cyperus brevifolius (Rottb.) Hassk.,,Cyperus brevifolius (Rottb.) Endl. ex Hassk.,sinonimo,Kyllinga brevifolia Rottb.,diferente
Cyperus cayennensis Willd. ex Link,sinonimo,Cyperus aggregatus (Willd.) Endl.,sinonimo,Cyperus aggregatus (Willd.) Endl.,
Cyperus celluloso-reticulatus Boeck.,sinonimo,Cyperus cellulosoreticulatus Boeckeler,nao_encontrado,,diferente
Cyperus chalaranthus J.Presl & C.Presl ,,Cyperus chalaranthus J.Presl & C.Presl,,Cyperus chalaranthus J.Presl & C.Presl,
Cyperus compressus L. ,,Cyperus compressus L.,,Cyperus compressus L.,
Cyperus cornelii-ostenii Kuk.,,Cyperus cornelii-ostenii Kük.,,Cyperus cornelii-ostenii Kük.,
Cyperus corymbosus Rottb.,,Cyperus corymbosus Rottb.,,Cyperus corymbosus Rottb.,
Cyperus cuspidatus Kunth,,Cyperus cuspidatus Kunth,sinonimo,Cyperus betafensis Cherm.,diferente
Cyperus diffusus Vahl,sinonimo,Cyperus laxus Lam.,sinonimo,Cyperus michelianus (L.) Delile,diferente
Cyperus digitatus Roxb.,,Cyperus digitatus Roxb.,sinonimo,Cyperus imbricatus Retz.,diferente
Cyperus distans L. f. ,,Cyperus distans L.,sinonimo,Cyperus strigosus L.,diferente
Cyperus eragrostis Lam,,Cyperus eragrostis Lam.,,Cyperus eragrostis Lam.,
Cyperus esculentus L. ,,Cyperus esculentus L.,,Cyperus esculentus L.,
Cyperus fistulosus Ehrenb. ex Boeckeler,sinonimo,Cyperus articulatus L.,sinonimo,Cyperus articulatus L.,
Cyperus gardneri Nees ,,Cyperus gardneri Nees,Não resolvido,Cyperus gardneri Baker,diferente
Cyperus giganteus Vahl,,Cyperus giganteus Vahl,,Cyperus giganteus Vahl,
Cyperus haspan L. ,,Cyperus haspan L.,,Cyperus haspan L.,
Cyperus hermaphroditus (Jacq.) Standl.,,Cyperus hermaphroditus (Jacq.) Standl.,,Cyperus hermaphroditus (Jacq.) Standl.,
Cyperus imbricatus Retz.,,Cyperus imbricatus Retz.,,Cyperus imbricatus Retz.,
Cyperus intricatus Schrad. Ex Schult.,,Cyperus intricatus Schrad. ex Schult.,,Cyperus intricatus Schrad. ex Schult.,
Cyperus involucratus Rottb.,sinonimo,Cyperus alternifolius L.,,Cyperus involucratus Rottb.,diferente
Cyperus iria L.,,Cyperus iria L.,,Cyperus iria L.,
Cyperus laetus Kunth,sinonimo,Cyperus rigens C.Presl,sinonimo,Cyperus fulvus R.Br.,diferente
Cyperus lanceolatus Poir.,,Cyperus lanceolatus Poir.,sinonimo,Pycreus lanceolatus (Poir.) C.B.Clarke,diferente
Cyperus laxus Lam.,,Cyperus laxus Lam.,Não resolvido,Cyperus laxus Willemet,diferente
Cyperus ligularis L. ,,Cyperus ligularis L.,sinonimo,Cyperus appendiculatus (Brongn.) Kunth,diferente
Cyperus luzulae (L) Retz.,,Cyperus luzulae (L.) Retz.,sinonimo,Cyperus eragrostis Lam.,diferente
Cyperus megapotamicus Kunth ,,Cyperus megapotamicus Kunth,sinonimo,Pycreus megapotamicus (A.Dietr.) Nees,diferente
Cyperus mundtii (Nees) Kunth ,,Cyperus mundtii (Nees) Kunth,nao_encontrado,,diferente
Cyperus obtusatus (J. & C. Presl) Mattf. & Kuk.,,Cyperus obtusatus (J.Presl & C.Presl) Mattf. & Kük.,sinonimo,Kyllinga vaginata Lam.,diferente
Cyperus odoratus L.,,Cyperus odoratus L.,sinonimo,Cyperus exaltatus Retz.,diferente
Cyperus papyrus L.,,Cyperus papyrus L.,,Cyperus papyrus L.,
Cyperus polystachyus R. Br.,sinonimo,Cyperus flavescens L.,sinonimo,Pycreus flavescens (L.) P.Beauv. ex Rchb.,diferente
Cyperus prolixus Kunth ,,Cyperus prolixus Kunth,,Cyperus prolixus Kunth,
Cyperus reflexus Vahl,,Cyperus reflexus Vahl,,Cyperus reflexus Vahl,
Cyperus rigens C. Presl ,,Cyperus rigens C.Presl,,Cyperus rigens J.Presl & C.Presl,diferente
Cyperus rotundus L.,,Cyperus rotundus L.,,Cyperus rotundus L.,
Cyperus sesquiflorus (Tor.) Mattf. et Kiik ,,Cyperus sesquiflorus (Torr.) Mattf. & Kük.,sinonimo,Kyllinga odorata Vahl,diferente
Cyperus surinamensis Rottb.,,Cyperus surinamensis Rottb.,,Cyperus surinamensis Rottb.,
Cyperus uncinulatus Schrad. ex Nees,,Cyperus uncinulatus Schrad. ex Nees,,Cyperus uncinulatus Schrad. ex Nees,
Cyperus virens Michx. ,,Cyperus virens Michx.,,Cyperus virens Michx.,
Dialium guianense (Aubl.) Sandwith,,Dialium guianense (Aubl.) Sandwith,,Dialium guianense (Aubl.) Sandwith,
Diplacrum longifolium (Griseb.) C.B. Clarke,sinonimo,Diplacrum capitatum (Willd.) Boeckeler,sinonimo,Diplacrum capitatum (Willd.) Boeckeler,
Eleocharis acutangula (Roxb.) Schult. ,,Eleocharis acutangula (Roxb.) Schult.,,Eleocharis acutangula (Roxb.) Schult.,
Eleocharis atropurpurea (Retz.) Kunth ,,Eleocharis atropurpurea (Retz.) J.Presl & C.Presl,,Eleocharis atropurpurea (Retz.) J.Presl & C.Presl,
Eleocharis barrosii Svenson ,,Eleocharis barrosii Svenson,,Eleocharis barrosii Svenson,
Eleocharis bonariensis Nees,,Eleocharis bonariensis Nees,,Eleocharis bonariensis Nees,
Eleocharis capillacea Kunth ,,Eleocharis capillacea Kunth,,Eleocharis capillacea Kunth,
Eleocharis debilis Kunth,,Eleocharis debilis Kunth,,Eleocharis debilis Kunth,
Eleocharis elata Boeck. ,sinonimo,Eleocharis plicarhachis (Griseb.) Svenson,sinonimo,Eleocharis plicarhachis (Griseb.) Svenson,
Eleocharis elegans (H.B.K.) Roem. & Schult. ,,Eleocharis elegans (Kunth) Roem. & Schult.,,Eleocharis elegans (Kunth) Roem. & Schult.,
Eleocharis elongata Chapman ,,Eleocharis elongata Chapm.,,Eleocharis elongata Chapm.,
Eleocharis equisetoides (Elliott.) Torr.,nao_encontrado,,,Eleocharis equisetoides (Elliott) Torr.,
Eleocharis filiculmis Kunth,,Eleocharis filiculmis Kunth,sinonimo,Eleocharis palustris subsp. waltersii Bureš & Danihelka,diferente
Eleocharis fistulosa Schult.,sinonimo,Eleocharis acutangula (Roxb.) Schult.,sinonimo,Eleocharis acutangula (Roxb.) Schult.,
Eleocharis flavescens (Poir.) Urban ,,Eleocharis flavescens (Poir.) Urb.,,Eleocharis flavescens (Poir.) Urb.,
Eleocharis geniculata  (L.) Roem. & Schult. ,,Eleocharis geniculata (L.) Roem. & Schult.,,Eleocharis geniculata (L.) Roem. & Schult.,
Eleocharis interstincta (Vahl) Roem. & Schult.,,Eleocharis interstincta (Vahl) Roem. & Schult.,,Eleocharis interstincta (Vahl) Roem. & Schult.,
Eleocharis maculosa (Vahl) R. Br. ,,Eleocharis maculosa (Vahl) Roem. & Schult.,,Eleocharis maculosa (Vahl) Roem. & Schult.,
Eleocharis minarum Boeck,,Eleocharis minarum Boeckeler,,Eleocharis minarum Boeckeler,
Eleocharis minima Kunth,,Eleocharis minima Kunth,,Eleocharis minima Kunth,
Eleocharis montana (Vahl) Roem. & Schult.,,Eleocharis montana (Kunth) Roem. & Schult.,,Eleocharis montana (Kunth) Roem. & Schult.,
Eleocharis mutata (L.) Roem. & Schult. ,,Eleocharis mutata (L.) Roem. & Schult.,sinonimo,Eleocharis montana (Kunth) Roem. & Schult.,diferente
Eleocharis nana Kunth ,,Eleocharis nana Kunth,,Eleocharis nana Kunth,
Eleocharis nodulosa (Roth) Schult. ,sinonimo,Eleocharis montana (Kunth) Roem. & Schult.,sinonimo,Eleocharis montana (Kunth) Roem. & Schult.,
Eleocharis nudipes (Kunth) Palla ,,Eleocharis nudipes (Kunth) Palla,,Eleocharis nudipes (Kunth) Palla,
Eleocharis radicans (Poir) Kunth ,,Eleocharis radicans (Poir.) Kunth,sinonimo,Eleocharis exigua (Kunth) Roem. & Schult.,diferente
Eleocharis retroflexa (Poir.) Urb. ,,Eleocharis retroflexa (Poir.) Urb.,,Eleocharis retroflexa (Poir.) Urb.,
Eleocharis sellowiana Kunth,,Eleocharis sellowiana Kunth,,Eleocharis sellowiana Kunth,
Eleocharis subarticulata (Nees) Boeck. ,,Eleocharis subarticulata (Nees) Boeckeler,,Eleocharis subarticulata (Nees) Boeckeler,
Eleocharis umbellata Rottb.,nao_encontrado,,nao_encontrado,,
Fimbristylis aestivalis (Retz.) Vahl ,,Fimbristylis aestivalis Vahl,,Fimbristylis aestivalis Vahl,
Fimbristylis autumnalis (L.) Roem. & Schult.,,Fimbristylis autumnalis (L.) Roem. & Schult.,,Fimbristylis autumnalis (L.) Roem. & Schult.,
Fimbristylis complanata (Retz.) Link.,,Fimbristylis complanata (Retz.) Link,,Fimbristylis complanata (Retz.) Link,
Fimbristylis cymosa R.Br. ,,Fimbristylis cymosa R.Br.,,Fimbristylis cymosa R.Br.,
Fimbristylis dichotoma (L.) Vahl ,,Fimbristylis dichotoma (L.) Vahl,,Fimbristylis dichotoma (L.) Vahl,
Fimbristylis diphylla (Reitz) Vahl,sinonimo,Fimbristylis dichotoma (L.) Vahl,sinonimo,Fimbristylis dichotoma (L.) Vahl,
Fimbristylis miliacea (L.) Vahl ,,Fimbristylis miliacea (L.) Vahl,sinonimo,Fimbristylis quinquangularis (Vahl) Kunth,diferente
Fimbristylis spadicea (L.) Vahl ,,Fimbristylis spadicea (L.) Vahl,,Fimbristylis spadicea (L.) Vahl,
Fimbristylis squarrosa Vahl,,Fimbristylis squarrosa Vahl,,Fimbristylis squarrosa Vahl,
Fuirena incompleta Nees,,Fuirena incompleta Nees,,Fuirena incompleta Nees,
Fuirena robusta Kunth ,,Fuirena robusta Kunth,,Fuirena robusta Kunth,
Fuirena umbellata Rottb.,,Fuirena umbellata Rottb.,,Fuirena umbellata Rottb.,
Hyparrhenia rufa (Nees) Stapf,,Hyparrhenia rufa (Nees) Stapf,,Hyparrhenia rufa (Nees) Stapf,
Kyllinga odorata Vahl. ,sinonimo,Cyperus sesquiflorus (Torr.) Mattf. & Kük.,sinonimo,Kyllinga brevifolia Rottb.,diferente
Kyllinga pumila Michx.,sinonimo,Cyperus hortensis (Salzm. ex Steud.) Dorr,,Kyllinga pumila Michx.,diferente
Lipocarpha humboldtiana Nees ,sinonimo,Cyperus sellowianus (Kunth) T.Koyama,sinonimo,Lipocarpha chinensis (Osbeck) J.Kern,diferente
Lipocarpha micrantha (Vahl) G.C. Tucker,sinonimo,Cyperus subsquarrosus (Muhl.) Bauters,,Lipocarpha micrantha (Vahl) G.C.Tucker,diferente
Lipocarpha salzmanniana Steud. ,sinonimo,Cyperus salzmannianus (Steud.) Bauters,,Lipocarpha salzmanniana Steud.,diferente
Lipocarpha sellowiana Kunth,sinonimo,Cyperus sellowianus (Kunth) T.Koyama,sinonimo,Lipocarpha maculata (Michx.) Torr.,diferente
Oxycaryum cubense (Poepp. & Kunth) Lye ,sinonimo,Cyperus blepharoleptos Steud.,,Oxycaryum cubense (Poepp. & Kunth) Palla,diferente
Pycreus flavescens (L.) P. Beauv. ex Rchb.,sinonimo,Cyperus flavescens L.,,Pycreus flavescens (L.) P.Beauv. ex Rchb.,diferente
Pycreus macrostachyos (Lam.) J. Raynal,sinonimo,Cyperus macrostachyos Lam.,,Pycreus macrostachyos (Lam.) J.Raynal,diferente
Pycreus polystachyos (Rottb.) P.Beauv.,sinonimo,Cyperus polystachyos Rottb.,,Pycreus polystachyos (Rottb.) P.Beauv.,diferente
Rhynchospora barbata (Vahl) Kunth,,Rhynchospora barbata (Vahl) Kunth,,Rhynchospora barbata (Vahl) Kunth,
Rhynchospora brittonii Gale ,,Rhynchospora brittonii Gale,,Rhynchospora brittonii Gale,
Rhynchospora cephalotes (L.) Vahl,,Rhynchospora cephalotes (L.) Vahl,,Rhynchospora cephalotes (L.) Vahl,
Rhynchospora contracta (Nees) J. Raynal ,,Rhynchospora contracta (Nees) J.Raynal,,Rhynchospora contracta (Nees) J.Raynal,
Rhynchospora corymbosa (L.) Britton ,,Rhynchospora corymbosa (L.) Britton,,Rhynchospora corymbosa (L.) Britton,
Rhynchospora cyperoides Mart. ,sinonimo,Rhynchospora holoschoenoides (Rich.) Herter,sinonimo,Rhynchospora holoschoenoides (Rich.) Herter,
Rhynchospora gigantea Link.,,Rhynchospora gigantea Link,,Rhynchospora gigantea Link,
Rhynchospora holoschoenoides (Rich.) Herter,,Rhynchospora holoschoenoides (Rich.) Herter,,Rhynchospora holoschoenoides (Rich.) Herter,
Rhynchospora marisculus Lindl. & Nees ,,Rhynchospora marisculus Lindl. & Nees,,Rhynchospora marisculus Lindl. & Nees,
Rhynchospora nervosa (Vahl) Boeckeler,,Rhynchospora nervosa (Vahl) Boeckeler,,Rhynchospora nervosa (Vahl) Boeckeler,
Rhynchospora pubera (Vahl) Boeckeler,,Rhynchospora pubera (Vahl) Boeckeler,,Rhynchospora pubera (Vahl) Boeckeler,
Rhynchospora riparia (Nees) Boeck.,,Rhynchospora riparia (Nees) Boeckeler,,Rhynchospora riparia (Nees) Boeckeler,
Rhynchospora schomburgkiana (Boeck.) T. Koyama ,,Rhynchospora schomburgkiana (Boeckeler) T.Koyama,,Rhynchospora schomburgkiana (Boeckeler) T.Koyama,
Rhynchospora subplumosa C.B. Clarke ,,Rhynchospora subplumosa C.B.Clarke,,Rhynchospora subplumosa C.B.Clarke,
Rhynchospora tenerrima Nees ex Spreng.,,Rhynchospora tenerrima Nees ex Spreng.,sinonimo,Rhynchospora tepuiana Steyerm.,diferente
Rhynchospora tenuis Link ,,Rhynchospora tenuis Link,sinonimo,Rhynchospora wrightiana Boeckeler,diferente
Rhynchospora trispicata (Nees) Schrad.,,Rhynchospora trispicata (Nees) Schrad. ex Steud.,,Rhynchospora trispicata (Nees) Schrad. ex Steud.,
Rhynchospora velutina (Kunth) Boeckeler ,,Rhynchospora velutina (Kunth) Boeckeler,,Rhynchospora velutina (Kunth) Boeckeler,
Schoenoplectus californicus (C.A.Mey) Soják,,Schoenoplectus californicus (C.A.Mey.) Soják,,Schoenoplectus californicus (C.A.Mey.) Soják,
Scirpus americanus Pers.,nao_encontrado,,sinonimo,Schoenoplectus americanus (Pers.) Volkart,
Scirpus californicus (C.A.Mey.) Steud. ,sinonimo,Schoenoplectus californicus (C.A.Mey.) Soják,sinonimo,Schoenoplectus californicus (C.A.Mey.) Soják,
Scirpus cubensis  Poepp. & Kunth ,nao_encontrato,,sinonimo,Oxycaryum cubense (Poepp. & Kunth) Palla,
Scirpus giganteus Kunth ,sinonimo,Androtrichum trigynum (Spreng.) H.Pfeiff.,sinonimo,Androtrichum giganteum (Kunth) H.Pfeiff.,diferente
Scirpus maritimus L.,sinonimo,Bolboschoenus robustus (Pursh) Soják,sinonimo,Bolboschoenus maritimus (L.) Palla,diferente
Scirpus submersus C. Wright ,sinonimo,Eleocharis confervoides (Poir.) Steud.,sinonimo,Eleocharis confervoides (Poir.) Steud.,
Scleria bracteata Cav.,,Scleria bracteata Cav.,,Scleria bracteata Cav.,
Scleria distans Poir.,,Scleria distans Poir.,,Scleria distans Poir.,
Scleria hirtella SW. ,,Scleria hirtella Sw.,,Scleria hirtella Sw.,
Scleria melaleuca Rchb.,sinonimo,Scleria gaertneri Raddi,sinonimo,Scleria gaertneri Raddi,
Scleria microcarpa Nees ex Kunth,,Scleria microcarpa Nees ex Kunth,,Scleria microcarpa Nees ex Kunth,
Scleria mitis P.J.Bergius ,,Scleria mitis P.J.Bergius,,Scleria mitis P.J.Bergius,
Scleria pterota C. Presl,sinonimo,Scleria gaertneri Raddi,sinonimo,Scleria gaertneri Raddi,
Scleria secans (L.) Urb. ,,Scleria secans (L.) Urb.,,Scleria secans (L.) Urb.,
Scleria soronia (Nees) Kunth,nao_encontrado,,nao_encontrado,,
Websteria confervoides (Poir.) S.S. Hooper,sinonimo,Eleocharis confervoides (Poir.) Steud.,sinonimo,Eleocharis confervoides (Poir.) Steud.,
Dioscorea marginata Griseb.,,Dioscorea marginata Griseb.,,Dioscorea marginata Griseb.,
Drosera communis A. St.-Hil.,,Drosera communis A.St.-Hil.,,Drosera communis A.St.-Hil.,
Drosera intermedia Hayne ,,Drosera intermedia Hayne,sinonimo,Drosera binata Labill.,diferente
Elatine lindbergii Rohrb.,,Elatine lindbergii Rohrb.,,Elatine lindbergii Rohrb.,
Equisetum giganteum L.,,Equisetum giganteum L.,,Equisetum giganteum L.,
Equisetum hyemale L.,nao_encontrado,,,Equisetum hyemale L.,
Agarista chlorantha (Cham.) G. Don,,Agarista chlorantha (Cham.) G.Don,,Agarista chlorantha G.Don,diferente
Gaylussacia brasiliensis (Spreng.) Meisn.,,Gaylussacia brasiliensis (Spreng.) Meisn.,,Gaylussacia brasiliensis (Spreng.) Meisn.,
Eriocaulon angustifolium Körn,sinonimo,Eriocaulon aquatile Körn.,,Eriocaulon angustifolium Körn.,diferente
Eriocaulon aquatile Korn.,,Eriocaulon aquatile Körn.,,Eriocaulon aquatile Körn.,
Eriocaulon humboldtii Kunth ,,Eriocaulon humboldtii Kunth,,Eriocaulon humboldtii Kunth,
Eriocaulon magnificum Ruhland ,,Eriocaulon magnificum Ruhland,,Eriocaulon magnificum Ruhland,
Eriocaulon modestum Kunth ,,Eriocaulon modestum Kunth,,Eriocaulon modestum Kunth,
Eriocaulon obtusum Ruhl.,,Eriocaulon obtusum Ruhland,,Eriocaulon obtusum Ruhland,
